Exiting
         839940 function calls (834012 primitive calls) in 9.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      270    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2170    0.002    0.000    0.002    0.000 rq.py:1291(__getattr__)
        2    0.002    0.001    0.002    0.001 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.002    0.002 _pocketfft.py:29(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.002    0.002 randr.py:34(<module>)
       14    0.000    0.000    0.002    0.000 core.py:116(doc_note)
        2    0.000    0.000    0.002    0.001 _base.py:22(<module>)
    12407    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     1029    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.002    0.002 random.py:38(<module>)
        1    0.000    0.000    0.002    0.002 XK.py:26(<module>)
      265    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      613    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      113    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.002    0.002 extras.py:10(<module>)
      258    0.001    0.000    0.002    0.000 rq.py:1092(parse_value)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:18(<module>)
      679    0.001    0.000    0.001    0.000 utils.py:49(point_screen_to_image_coordinates)
     2602    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 unix_connect.py:22(<module>)
     3388    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.001    0.001 threaded_capture.py:28(release)
       30    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        1    0.001    0.001    0.001    0.001 {method 'release' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.001    0.001 polynomial.py:74(<module>)
        1    0.000    0.000    0.001    0.001 xinput.py:25(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:22(<module>)
        1    0.001    0.001    0.001    0.001 datetime.py:454(timedelta)
     2846    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
      291    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1362    0.001    0.000    0.001    0.000 display.py:313(get_resource_class)
       28    0.001    0.000    0.001    0.000 inspect.py:613(cleandoc)
      223    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        3    0.000    0.000    0.001    0.000 six.py:96(__get__)
        2    0.000    0.000    0.001    0.001 subprocess.py:1014(wait)
        3    0.000    0.000    0.001    0.000 six.py:119(_resolve)
        3    0.000    0.000    0.001    0.000 six.py:85(_import_module)
        2    0.000    0.000    0.001    0.001 subprocess.py:1621(_wait)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.001    0.001 event.py:24(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
     9796    0.001    0.000    0.001    0.000 lock.py:36(__noop)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
        2    0.000    0.000    0.001    0.001 subprocess.py:1608(_try_wait)
        2    0.001    0.001    0.001    0.001 {built-in method posix.waitpid}
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
      280    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
        1    0.000    0.000    0.001    0.001 _asarray.py:5(<module>)
     1373    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
     1642    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:5(<module>)
     5752    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       36    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:235(__init__)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      713    0.001    0.000    0.001    0.000 {built-in method _struct.pack}
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
      735    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      446    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
  310/105    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
     2266    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       51    0.000    0.000    0.001    0.000 typing.py:608(__init__)
      711    0.001    0.000    0.001    0.000 {method 'intersection' of 'set' objects}
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:52(add_newdoc_for_scalar_type)
      679    0.000    0.000    0.001    0.000 rq.py:298(check_value)
      292    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1784    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     2669    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      102    0.000    0.000    0.001    0.000 re.py:172(match)
     1126    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      380    0.001    0.000    0.001    0.000 enum.py:381(__setattr__)
     1774    0.001    0.000    0.001    0.000 _base.py:80(__eq__)
      284    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      669    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.001    0.001 arraysetops.py:16(<module>)
        1    0.000    0.000    0.001    0.001 _xorg.py:117(Key)
        2    0.000    0.000    0.001    0.000 display.py:724(get_keyboard_mapping)
     1366    0.001    0.000    0.001    0.000 resource.py:25(__init__)
